date,competition,stage,home_team,away_team,home_goals,away_goals,neutral_ground,host_team,source,group
2026-06-11,world_cup_2026_group,group,Mexico,South Africa,2,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,A
2026-06-11,world_cup_2026_group,group,South Korea,Czech Republic,2,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,A
2026-06-18,world_cup_2026_group,group,Czech Republic,South Africa,1,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,A
2026-06-18,world_cup_2026_group,group,Mexico,South Korea,1,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,A
2026-06-24,world_cup_2026_group,group,Czech Republic,Mexico,0,3,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,A
2026-06-24,world_cup_2026_group,group,South Africa,South Korea,1,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,A
2026-06-12,world_cup_2026_group,group,Canada,Bosnia and Herzegovina,1,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,B
2026-06-13,world_cup_2026_group,group,Qatar,Switzerland,1,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,B
2026-06-18,world_cup_2026_group,group,Switzerland,Bosnia and Herzegovina,4,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,B
2026-06-18,world_cup_2026_group,group,Canada,Qatar,6,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,B
2026-06-24,world_cup_2026_group,group,Switzerland,Canada,2,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,B
2026-06-24,world_cup_2026_group,group,Bosnia and Herzegovina,Qatar,3,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,B
2026-06-13,world_cup_2026_group,group,Brazil,Morocco,1,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,C
2026-06-13,world_cup_2026_group,group,Haiti,Scotland,0,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,C
2026-06-19,world_cup_2026_group,group,Scotland,Morocco,0,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,C
2026-06-19,world_cup_2026_group,group,Brazil,Haiti,3,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,C
2026-06-24,world_cup_2026_group,group,Scotland,Brazil,0,3,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,C
2026-06-24,world_cup_2026_group,group,Morocco,Haiti,4,2,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,C
2026-06-12,world_cup_2026_group,group,United States,Paraguay,4,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,D
2026-06-13,world_cup_2026_group,group,Australia,Turkey,2,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,D
2026-06-19,world_cup_2026_group,group,United States,Australia,2,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,D
2026-06-19,world_cup_2026_group,group,Turkey,Paraguay,0,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,D
2026-06-25,world_cup_2026_group,group,Turkey,United States,3,2,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,D
2026-06-25,world_cup_2026_group,group,Paraguay,Australia,0,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,D
