team,coach_win_rate,coach_points_per_game,coach_tournament_experience,coach_days_in_charge,coach_recent_uplift,coach_data_missing
Argentina,0.72,2.25,8,2500,0.20,0
Brazil,0.65,2.05,7,900,0.05,0
Spain,0.68,2.10,7,1200,0.15,0
France,0.70,2.20,9,3600,0.10,0
England,0.64,2.00,8,3200,0.05,0
Germany,0.58,1.85,8,850,0.10,0
Portugal,0.66,2.05,7,1100,0.12,0
Netherlands,0.62,1.95,7,900,0.08,0
Mexico,0.55,1.70,6,700,0.00,0
United States,0.57,1.75,5,900,0.02,0
Canada,0.52,1.60,4,600,0.05,0
Japan,0.60,1.90,6,1800,0.10,0
South Korea,0.57,1.78,6,900,0.03,0
Morocco,0.61,1.85,6,1400,0.14,0
Senegal,0.59,1.82,6,1900,0.08,0
Uruguay,0.61,1.92,7,1000,0.07,0
