date,match_no,home_team,away_team,home_goals,away_goals,actual_result,actual_advancer,classifier_home_win,classifier_draw,classifier_away_win,expected_home_goals,expected_away_goals,poisson_home_win,poisson_draw,poisson_away_win,top_scorelines,final_home_win,final_draw,final_away_win,predicted_result,predicted_advancer,result_correct,advancer_correct,model_conflict,max_wdl_probability_diff,model_warning
2026-06-28,73,South Africa,Canada,0.000,1.000,away_win,Canada,0.360,0.315,0.325,1.312,2.061,0.244,0.217,0.540,"[{""score"": ""1-2"", ""probability"": 0.098}, {""score"": ""1-1"", ""probability"": 0.095}, {""score"": ""0-2"", ""probability"": 0.074}, {""score"": ""0-1"", ""probability"": 0.072}, {""score"": ""1-3"", ""probability"": 0.067}]",0.290,0.256,0.454,away_win,Canada,True,True,False,0.086,
2026-06-29,74,Germany,Paraguay,1.000,1.000,draw,Paraguay,0.714,0.284,0.002,2.296,1.641,0.515,0.207,0.278,"[{""score"": ""2-1"", ""probability"": 0.088}, {""score"": ""1-1"", ""probability"": 0.076}, {""score"": ""2-2"", ""probability"": 0.072}, {""score"": ""3-1"", ""probability"": 0.067}, {""score"": ""1-2"", ""probability"": 0.063}]",0.595,0.237,0.168,home_win,Germany,False,False,False,0.110,
2026-06-29,75,Brazil,Japan,2.000,1.000,home_win,Brazil,0.513,0.483,0.004,1.665,1.095,0.504,0.245,0.251,"[{""score"": ""1-1"", ""probability"": 0.116}, {""score"": ""1-0"", ""probability"": 0.106}, {""score"": ""2-1"", ""probability"": 0.097}, {""score"": ""2-0"", ""probability"": 0.088}, {""score"": ""0-1"", ""probability"": 0.07}]",0.507,0.341,0.152,home_win,Brazil,True,True,False,0.099,
2026-06-29,76,Netherlands,Morocco,1.000,1.000,draw,Morocco,0.262,0.710,0.028,0.443,1.370,0.120,0.279,0.601,"[{""score"": ""0-1"", ""probability"": 0.224}, {""score"": ""0-0"", ""probability"": 0.164}, {""score"": ""0-2"", ""probability"": 0.154}, {""score"": ""1-1"", ""probability"": 0.099}, {""score"": ""1-0"", ""probability"": 0.073}]",0.177,0.451,0.372,draw,Morocco,True,True,False,0.229,classification model and goal model disagree.
2026-06-30,77,France,Sweden,3.000,0.000,home_win,France,0.813,0.187,0.000,2.872,0.644,0.814,0.125,0.061,"[{""score"": ""2-0"", ""probability"": 0.132}, {""score"": ""3-0"", ""probability"": 0.126}, {""score"": ""1-0"", ""probability"": 0.092}, {""score"": ""4-0"", ""probability"": 0.091}, {""score"": ""2-1"", ""probability"": 0.085}]",0.814,0.150,0.037,home_win,France,True,True,False,0.025,
2026-06-30,78,Ivory Coast,Norway,1.000,2.000,away_win,Norway,0.369,0.624,0.007,0.711,0.888,0.274,0.351,0.375,"[{""score"": ""0-0"", ""probability"": 0.202}, {""score"": ""0-1"", ""probability"": 0.179}, {""score"": ""1-0"", ""probability"": 0.144}, {""score"": ""1-1"", ""probability"": 0.128}, {""score"": ""0-2"", ""probability"": 0.08}]",0.312,0.460,0.228,draw,Ivory Coast,False,False,False,0.147,
2026-06-30,79,Mexico,Ecuador,2.000,0.000,home_win,Mexico,0.616,0.384,0.000,1.156,0.943,0.405,0.298,0.297,"[{""score"": ""1-0"", ""probability"": 0.142}, {""score"": ""1-1"", ""probability"": 0.134}, {""score"": ""0-0"", ""probability"": 0.123}, {""score"": ""0-1"", ""probability"": 0.116}, {""score"": ""2-0"", ""probability"": 0.082}]",0.490,0.332,0.178,home_win,Mexico,True,True,False,0.119,
2026-07-01,80,England,DR Congo,2.000,1.000,home_win,England,0.803,0.197,0.000,2.810,1.287,0.671,0.170,0.159,"[{""score"": ""2-1"", ""probability"": 0.091}, {""score"": ""3-1"", ""probability"": 0.085}, {""score"": ""2-0"", ""probability"": 0.07}, {""score"": ""3-0"", ""probability"": 0.066}, {""score"": ""1-1"", ""probability"": 0.065}]",0.724,0.181,0.095,home_win,England,True,True,False,0.064,
2026-07-01,81,United States,Bosnia and Herzegovina,2.000,0.000,home_win,United States,0.563,0.436,0.001,2.282,1.274,0.590,0.202,0.209,"[{""score"": ""2-1"", ""probability"": 0.098}, {""score"": ""1-1"", ""probability"": 0.086}, {""score"": ""2-0"", ""probability"": 0.077}, {""score"": ""3-1"", ""probability"": 0.074}, {""score"": ""1-0"", ""probability"": 0.067}]",0.579,0.295,0.126,home_win,United States,True,True,False,0.094,
2026-07-01,82,Belgium,Senegal,3.000,2.000,home_win,Belgium,0.213,0.248,0.539,1.271,2.087,0.232,0.214,0.554,"[{""score"": ""1-2"", ""probability"": 0.098}, {""score"": ""1-1"", ""probability"": 0.094}, {""score"": ""0-2"", ""probability"": 0.077}, {""score"": ""0-1"", ""probability"": 0.074}, {""score"": ""1-3"", ""probability"": 0.068}]",0.224,0.228,0.548,away_win,Senegal,False,False,False,0.013,
