alpha_classifier,conflict_gate,accuracy,advancer_accuracy,conflict_count,warning_count,mean_wdl_probability_diff,group_weight,historical_scale,lambda_decay,test_matches
0.400,False,0.769,0.769,0,2,0.104,4.000,0.200,0.010,13
0.400,True,0.769,0.769,0,2,0.104,4.000,0.200,0.010,13
0.500,False,0.769,0.769,0,2,0.130,4.000,0.200,0.010,13
0.500,True,0.769,0.769,0,2,0.130,4.000,0.200,0.010,13
0.600,False,0.769,0.769,0,3,0.156,4.000,0.200,0.010,13
0.600,True,0.769,0.769,0,3,0.156,4.000,0.200,0.010,13
0.700,False,0.769,0.692,0,4,0.182,4.000,0.200,0.010,13
0.700,True,0.769,0.692,0,4,0.182,4.000,0.200,0.010,13
0.800,False,0.769,0.692,0,6,0.208,4.000,0.200,0.010,13
0.800,True,0.769,0.692,0,6,0.208,4.000,0.200,0.010,13
0.000,False,0.692,0.769,0,0,0.000,4.000,0.200,0.010,13
0.000,True,0.692,0.769,0,0,0.000,4.000,0.200,0.010,13
0.000,False,0.692,0.769,0,0,0.000,4.000,0.350,0.010,13
0.000,True,0.692,0.769,0,0,0.000,4.000,0.350,0.010,13
0.100,False,0.692,0.769,0,0,0.031,1.100,0.200,0.002,13
0.100,True,0.692,0.769,0,0,0.031,1.100,0.200,0.002,13
0.100,False,0.692,0.769,0,0,0.033,1.100,0.200,0.005,13
0.100,True,0.692,0.769,0,0,0.033,1.100,0.200,0.005,13
0.100,False,0.692,0.769,0,0,0.034,1.100,0.200,0.010,13
0.100,True,0.692,0.769,0,0,0.034,1.100,0.200,0.010,13
0.200,False,0.692,0.769,0,0,0.034,4.000,0.350,0.002,13
0.200,True,0.692,0.769,0,0,0.034,4.000,0.350,0.002,13
0.200,False,0.692,0.769,0,0,0.035,4.000,0.200,0.002,13
0.200,True,0.692,0.769,0,0,0.035,4.000,0.200,0.002,13
0.200,False,0.692,0.769,0,0,0.039,3.000,0.200,0.002,13
0.200,True,0.692,0.769,0,0,0.039,3.000,0.200,0.002,13
0.200,False,0.692,0.769,0,0,0.043,2.500,0.200,0.002,13
0.200,True,0.692,0.769,0,0,0.043,2.500,0.200,0.002,13
0.200,False,0.692,0.769,0,0,0.048,2.000,0.200,0.002,13
0.200,True,0.692,0.769,0,0,0.048,2.000,0.200,0.002,13
0.300,False,0.692,0.769,0,0,0.052,4.000,0.350,0.002,13
0.300,True,0.692,0.769,0,0,0.052,4.000,0.350,0.002,13
0.300,False,0.692,0.769,0,0,0.053,4.000,0.200,0.002,13
0.300,True,0.692,0.769,0,0,0.053,4.000,0.200,0.002,13
0.200,False,0.692,0.769,0,0,0.054,1.500,0.200,0.002,13
0.200,True,0.692,0.769,0,0,0.054,1.500,0.200,0.002,13
0.300,False,0.692,0.769,0,0,0.059,3.000,0.200,0.002,13
0.300,True,0.692,0.769,0,0,0.059,3.000,0.200,0.002,13
0.200,False,0.692,0.769,0,0,0.062,1.100,0.200,0.002,13
0.200,True,0.692,0.769,0,0,0.062,1.100,0.200,0.002,13
0.200,False,0.692,0.769,0,0,0.062,1.500,0.200,0.005,13
0.200,True,0.692,0.769,0,0,0.062,1.500,0.200,0.005,13
0.300,False,0.692,0.769,0,0,0.065,2.500,0.200,0.002,13
0.300,True,0.692,0.769,0,0,0.065,2.500,0.200,0.002,13
0.200,False,0.692,0.769,0,0,0.067,1.100,0.200,0.005,13
0.200,True,0.692,0.769,0,0,0.067,1.100,0.200,0.005,13
0.200,False,0.692,0.769,0,0,0.068,1.100,0.200,0.010,13
0.200,True,0.692,0.769,0,0,0.068,1.100,0.200,0.010,13
0.400,False,0.692,0.769,0,0,0.069,4.000,0.350,0.002,13
0.400,True,0.692,0.769,0,0,0.069,4.000,0.350,0.002,13
0.400,False,0.692,0.769,0,0,0.071,4.000,0.200,0.002,13
0.400,True,0.692,0.769,0,0,0.071,4.000,0.200,0.002,13
0.300,False,0.692,0.769,0,0,0.071,2.000,0.200,0.002,13
0.300,True,0.692,0.769,0,0,0.071,2.000,0.200,0.002,13
0.300,False,0.692,0.769,0,0,0.074,3.000,0.200,0.005,13
0.300,True,0.692,0.769,0,0,0.074,3.000,0.200,0.005,13
0.400,False,0.692,0.769,0,0,0.078,3.000,0.200,0.002,13
0.400,True,0.692,0.769,0,0,0.078,3.000,0.200,0.002,13
0.300,False,0.692,0.769,0,0,0.080,2.500,0.200,0.005,13
0.300,True,0.692,0.769,0,0,0.080,2.500,0.200,0.005,13
0.300,False,0.692,0.769,0,0,0.086,2.000,0.200,0.005,13
0.300,True,0.692,0.769,0,0,0.086,2.000,0.200,0.005,13
0.500,False,0.692,0.769,0,0,0.088,4.000,0.200,0.002,13
0.500,True,0.692,0.769,0,0,0.088,4.000,0.200,0.002,13
0.400,False,0.692,0.769,0,0,0.098,3.000,0.200,0.005,13
0.400,True,0.692,0.769,0,0,0.098,3.000,0.200,0.005,13
0.000,False,0.692,0.692,0,0,0.000,4.000,0.350,0.002,13
0.000,True,0.692,0.692,0,0,0.000,4.000,0.350,0.002,13
0.000,False,0.692,0.692,0,0,0.000,4.000,0.500,0.002,13
0.000,True,0.692,0.692,0,0,0.000,4.000,0.500,0.002,13
0.000,False,0.692,0.692,0,0,0.000,2.500,0.350,0.002,13
0.000,True,0.692,0.692,0,0,0.000,2.500,0.350,0.002,13
