team,played,points,goals_for,goals_against,goal_diff,points_per_game,goals_for_per_game,goals_against_per_game,goal_diff_per_game,raw_strength,opponent_attack_per_game,opponent_goals_allowed_per_game,schedule_strength,adjusted_attack,adjusted_defense,team_strength,field_goal_rate
Algeria,4,4.000,5.000,9.000,-4.000,1.000,1.250,2.250,-1.000,-0.694,1.875,1.604,0.306,1.235,1.665,-0.474,1.460
Argentina,4,12.350,11.000,3.000,8.000,3.088,2.750,0.750,2.000,1.896,1.188,2.104,-0.788,1.774,1.084,1.136,1.460
Australia,4,5.000,3.000,3.000,0.000,1.250,0.750,0.750,0.000,-0.031,1.438,1.229,0.226,1.062,0.971,0.116,1.460
Austria,4,4.000,6.000,9.000,-3.000,1.000,1.500,2.250,-0.750,-0.556,1.750,1.417,0.341,1.520,1.752,-0.269,1.460
Belgium,4,8.350,9.000,4.000,5.000,2.088,2.250,1.000,1.250,1.033,1.583,1.896,-0.353,1.651,1.084,0.759,1.460
Bosnia and Herzegovina,4,4.000,5.000,8.000,-3.000,1.000,1.250,2.000,-0.750,-0.556,1.917,1.458,0.457,1.314,1.505,-0.202,1.460
Brazil,4,10.350,9.000,2.000,7.000,2.588,2.250,0.500,1.750,1.533,1.188,1.562,-0.312,1.910,0.868,1.417,1.460
Canada,4,7.350,9.000,3.000,6.000,1.838,2.250,0.750,1.500,1.058,1.167,1.771,-0.372,1.737,1.095,0.741,1.460
Cape Verde,4,3.000,4.000,5.000,-1.000,0.750,1.000,1.250,-0.250,-0.394,1.521,0.938,0.516,1.528,1.278,0.164,1.460
Colombia,4,10.350,5.000,1.000,4.000,2.588,1.250,0.250,1.000,1.121,1.104,1.542,-0.374,1.267,0.670,0.959,1.460
Croatia,4,6.000,6.000,7.000,-1.000,1.500,1.500,1.750,-0.250,-0.056,1.125,0.833,0.205,2.278,2.028,0.358,1.460
Curaçao,3,1.000,1.000,9.000,-8.000,0.333,0.333,3.000,-2.667,-1.910,1.500,1.083,0.273,0.753,2.482,-2.015,1.460
Czech Republic,3,1.000,2.000,6.000,-4.000,0.333,0.667,2.000,-1.333,-1.177,1.056,0.667,0.383,1.460,2.375,-1.175,1.460
DR Congo,4,4.000,5.000,5.000,0.000,1.000,1.250,1.250,0.000,-0.144,1.479,1.292,0.327,1.427,1.302,0.086,1.460
Ecuador,4,4.000,2.000,4.000,-2.000,1.000,0.500,1.000,-0.500,-0.419,1.583,1.312,0.306,0.827,1.084,-0.301,1.460
Egypt,4,6.350,6.000,4.000,2.000,1.588,1.500,1.000,0.500,0.396,1.333,1.521,-0.171,1.446,1.205,0.298,1.460
England,4,10.350,8.000,3.000,5.000,2.588,2.000,0.750,1.250,1.258,0.812,1.271,-0.452,2.047,1.382,1.010,1.460
